fase,fase_codigo,fase_ordem,grupo,rodada,data,data_iso,hora_brt,mandante,mandante_slot,visitante,visitante_slot,estadio,cidade,pais,fuso_lista
Grupos,13,1,H,3,26/06/2026,2026-06-26,21:00,Cabo Verde,,Arábia Saudita,,NRG Stadium,Houston,EUA,BRT
Grupos,13,1,H,3,26/06/2026,2026-06-26,21:00,Uruguai,,Espanha,,Estadio Akron,Guadalajara,México,BRT
Grupos,13,1,L,3,27/06/2026,2026-06-27,18:00,Panamá,,Inglaterra,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,13,1,L,3,27/06/2026,2026-06-27,18:00,Croácia,,Gana,,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,13,1,K,3,27/06/2026,2026-06-27,20:30,Colômbia,,Portugal,,Hard Rock Stadium,Miami,EUA,BRT
Grupos,13,1,K,3,27/06/2026,2026-06-27,20:30,COD/JAM/NCL,Playoff Intercontinental 1,Uzbequistão,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,13,1,J,3,27/06/2026,2026-06-27,23:00,Argélia,,Áustria,,Arrowhead Stadium,Kansas City,EUA,BRT
Grupos,13,1,J,3,27/06/2026,2026-06-27,23:00,Jordânia,,Argentina,,AT&T Stadium,Dallas,EUA,BRT
32-avos,16,2,,,28/06/2026,2026-06-28,16:00,2º A,2º A,2º B,2º B,SoFi Stadium,Los Angeles,EUA,BRT
32-avos,16,2,,,29/06/2026,2026-06-29,14:00,1º C,1º C,2º F,2º F,NRG Stadium,Houston,EUA,BRT
32-avos,16,2,,,29/06/2026,2026-06-29,17:30,1º E,1º E,3º (A/B/C/D/F),3º (A/B/C/D/F),Gillette Stadium,Boston,EUA,BRT
32-avos,16,2,,,29/06/2026,2026-06-29,22:00,1º F,1º F,2º C,2º C,Estadio BBVA,Monterrey,México,BRT
32-avos,16,2,,,30/06/2026,2026-06-30,14:00,2º E,2º E,2º I,2º I,AT&T Stadium,Dallas,EUA,BRT
32-avos,16,2,,,30/06/2026,2026-06-30,18:00,1º I,1º I,3º (C/D/F/G/H),3º (C/D/F/G/H),MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
32-avos,16,2,,,30/06/2026,2026-06-30,22:00,1º A,1º A,3º (C/E/F/H/I),3º (C/E/F/H/I),Estádio Azteca,Cidade do México,México,BRT
32-avos,16,2,,,01/07/2026,2026-07-01,13:00,1º L,1º L,3º (E/H/I/J/K),3º (E/H/I/J/K),Mercedes-Benz Stadium,Atlanta,EUA,BRT
32-avos,16,2,,,01/07/2026,2026-07-01,17:00,1º G,1º G,3º (A/E/H/I/J),3º (A/E/H/I/J),Lumen Field,Seattle,EUA,BRT
32-avos,16,2,,,01/07/2026,2026-07-01,21:00,1º D,1º D,3º (B/E/F/I/J),3º (B/E/F/I/J),Levi’s Stadium,Santa Clara,EUA,BRT
32-avos,16,2,,,02/07/2026,2026-07-02,00:00,1º B,1º B,3º (E/F/G/I/J),3º (E/F/G/I/J),BC Place,Vancouver,Canadá,BRT
32-avos,16,2,,,02/07/2026,2026-07-02,16:00,1º H,1º H,2º J,2º J,SoFi Stadium,Los Angeles,EUA,BRT
32-avos,16,2,,,02/07/2026,2026-07-02,20:00,2º K,2º K,2º L,2º L,BMO Field,Toronto,Canadá,BRT
32-avos,16,2,,,03/07/2026,2026-07-03,15:00,2º D,2º D,2º G,2º G,AT&T Stadium,Dallas,EUA,BRT
32-avos,16,2,,,03/07/2026,2026-07-03,19:00,1º J,1º J,2º H,2º H,Hard Rock Stadium,Miami,EUA,BRT
32-avos,16,2,,,03/07/2026,2026-07-03,22:30,1º K,1º K,3º (D/E/I/J/L),3º (D/E/I/J/L),Arrowhead Stadium,Kansas City,EUA,BRT
Final,1,7,,,19/07/2026,2026-07-19,16:00,V101,V101,V102,V102,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
